,leiden_subclusters,labels
1850,18,Ifit3-high CD8 T cells
1851,8,Ifit3-high B cells
1852,2,CD8 T cells
1853,1,Mature B cells
1854,0,CD4 T cells
1855,0,CD4 T cells
1856,2,CD8 T cells
1857,6,CD122+ CD8 T cells
1858,3,Transitional B cells
1859,5,Mature B cells
1860,7,Mature B cells
1861,"16,0",B-macrophage doublets
1862,"12,1",NK cells
1863,0,CD4 T cells
1864,3,Transitional B cells
1865,"20,1",Ly6-low monocytes
1866,4,Mature B cells
1867,7,Mature B cells
1868,3,Transitional B cells
1869,4,Mature B cells
1870,19,Cycling B/T cells
1871,7,Mature B cells
1872,1,Mature B cells
1873,"10,1",ICOS-high Tregs
1874,27,Activated CD4 T cells
1875,0,CD4 T cells
1876,2,CD8 T cells
1877,6,CD122+ CD8 T cells
1878,2,CD8 T cells
1879,8,Ifit3-high B cells
1880,8,Ifit3-high B cells
1881,"10,0",Tregs
1882,1,Mature B cells
1883,1,Mature B cells
1884,13,B1 B cells
1885,5,Mature B cells
1886,1,Mature B cells
1887,8,Ifit3-high B cells
1888,"15,1",cDC1s
1889,1,Mature B cells
1890,18,Ifit3-high CD8 T cells
1891,3,Transitional B cells
1892,"12,1",NK cells
1893,6,CD122+ CD8 T cells
1894,"12,0",NKT cells
1895,2,CD8 T cells
1896,7,Mature B cells
1897,0,CD4 T cells
1898,6,CD122+ CD8 T cells
1899,11,MZ B cells
1900,1,Mature B cells
1901,6,CD122+ CD8 T cells
1902,0,CD4 T cells
1903,14,Ifit3-high CD4 T cells
1904,9,Mature B cells
1905,2,CD8 T cells
1906,9,Mature B cells
1907,1,Mature B cells
1908,0,CD4 T cells
1909,4,Mature B cells
1910,0,CD4 T cells
1911,"20,1",Ly6-low monocytes
1912,2,CD8 T cells
1913,0,CD4 T cells
1914,9,Mature B cells
1915,8,Ifit3-high B cells
1916,17,Low quality B cells
1917,0,CD4 T cells
1918,4,Mature B cells
1919,3,Transitional B cells
1920,2,CD8 T cells
1921,0,CD4 T cells
1922,4,Mature B cells
1923,11,MZ B cells
1924,13,B1 B cells
1925,7,Mature B cells
1926,23,T doublets
1927,23,T doublets
1928,4,Mature B cells
1929,1,Mature B cells
1930,4,Mature B cells
1931,5,Mature B cells
1932,18,Ifit3-high CD8 T cells
1933,2,CD8 T cells
1934,0,CD4 T cells
1935,2,CD8 T cells
1936,4,Mature B cells
1937,"20,0",Ly6-high monocytes
1938,3,Transitional B cells
1939,"12,1",NK cells
1940,3,Transitional B cells
1941,21,B doublets
1942,1,Mature B cells
1943,3,Transitional B cells
1944,3,Transitional B cells
1945,6,CD122+ CD8 T cells
1946,23,T doublets
1947,6,CD122+ CD8 T cells
1948,0,CD4 T cells
1949,5,Mature B cells
1950,4,Mature B cells
1951,5,Mature B cells
1952,9,Mature B cells
1953,6,CD122+ CD8 T cells
1954,1,Mature B cells
1955,"10,1",ICOS-high Tregs
1956,8,Ifit3-high B cells
1957,0,CD4 T cells
1958,4,Mature B cells
1959,6,CD122+ CD8 T cells
1960,11,MZ B cells
1961,0,CD4 T cells
1962,11,MZ B cells
1963,3,Transitional B cells
1964,14,Ifit3-high CD4 T cells
1965,0,CD4 T cells
1966,0,CD4 T cells
1967,9,Mature B cells
1968,7,Mature B cells
1969,0,CD4 T cells
1970,4,Mature B cells
1971,0,CD4 T cells
1972,8,Ifit3-high B cells
1973,19,Cycling B/T cells
1974,2,CD8 T cells
1975,"16,1",MZ/Marco-high macrophages
1976,0,CD4 T cells
1977,6,CD122+ CD8 T cells
1978,2,CD8 T cells
1979,5,Mature B cells
1980,9,Mature B cells
1981,2,CD8 T cells
1982,0,CD4 T cells
1983,"10,1",ICOS-high Tregs
1984,9,Mature B cells
1985,14,Ifit3-high CD4 T cells
1986,"20,0",Ly6-high monocytes
1987,0,CD4 T cells
1988,11,MZ B cells
1989,"20,0",Ly6-high monocytes
1990,11,MZ B cells
1991,17,Low quality B cells
1992,5,Mature B cells
1993,1,Mature B cells
1994,1,Mature B cells
1995,4,Mature B cells
1996,0,CD4 T cells
1997,2,CD8 T cells
1998,5,Mature B cells
1999,"15,2",Migratory DCs
2000,8,Ifit3-high B cells
2001,5,Mature B cells
2002,25,B-CD4 T cell doublets
2003,5,Mature B cells
2004,5,Mature B cells
2005,7,Mature B cells
2006,5,Mature B cells
2007,2,CD8 T cells
2008,22,GD T cells
2009,5,Mature B cells
2010,27,Activated CD4 T cells
2011,3,Transitional B cells
2012,5,Mature B cells
2013,0,CD4 T cells
2014,"12,0",NKT cells
2015,7,Mature B cells
2016,6,CD122+ CD8 T cells
2017,0,CD4 T cells
2018,"12,1",NK cells
