,leiden_subclusters,labels
7395,13,B1 B cells
7396,7,Mature B cells
7397,7,Mature B cells
7398,6,CD122+ CD8 T cells
7399,7,Mature B cells
7400,0,CD4 T cells
7401,0,CD4 T cells
7402,"12,0",NKT cells
7403,"16,0",B-macrophage doublets
7404,3,Transitional B cells
7405,1,Mature B cells
7406,11,MZ B cells
7407,4,Mature B cells
7408,6,CD122+ CD8 T cells
7409,11,MZ B cells
7410,6,CD122+ CD8 T cells
7411,13,B1 B cells
7412,"12,1",NK cells
7413,"10,0",Tregs
7414,0,CD4 T cells
7415,1,Mature B cells
7416,0,CD4 T cells
7417,6,CD122+ CD8 T cells
7418,7,Mature B cells
7419,1,Mature B cells
7420,1,Mature B cells
7421,8,Ifit3-high B cells
7422,0,CD4 T cells
7423,3,Transitional B cells
7424,4,Mature B cells
7425,0,CD4 T cells
7426,"15,1",cDC1s
7427,2,CD8 T cells
7428,28,pDCs
7429,19,Cycling B/T cells
7430,3,Transitional B cells
7431,8,Ifit3-high B cells
7432,17,Low quality B cells
7433,11,MZ B cells
7434,5,Mature B cells
7435,0,CD4 T cells
7436,6,CD122+ CD8 T cells
7437,2,CD8 T cells
7438,0,CD4 T cells
7439,2,CD8 T cells
7440,1,Mature B cells
7441,3,Transitional B cells
7442,3,Transitional B cells
7443,3,Transitional B cells
7444,11,MZ B cells
7445,0,CD4 T cells
7446,0,CD4 T cells
7447,7,Mature B cells
7448,13,B1 B cells
7449,"12,0",NKT cells
7450,1,Mature B cells
7451,4,Mature B cells
7452,6,CD122+ CD8 T cells
7453,5,Mature B cells
7454,5,Mature B cells
7455,30,Neutrophils
7456,1,Mature B cells
7457,8,Ifit3-high B cells
7458,3,Transitional B cells
7459,7,Mature B cells
7460,11,MZ B cells
7461,3,Transitional B cells
7462,21,B doublets
7463,9,Mature B cells
7464,"15,1",cDC1s
7465,"15,1",cDC1s
7466,4,Mature B cells
7467,7,Mature B cells
7468,3,Transitional B cells
7469,2,CD8 T cells
7470,2,CD8 T cells
7471,2,CD8 T cells
7472,5,Mature B cells
7473,3,Transitional B cells
7474,3,Transitional B cells
7475,8,Ifit3-high B cells
7476,0,CD4 T cells
7477,3,Transitional B cells
7478,2,CD8 T cells
7479,2,CD8 T cells
7480,3,Transitional B cells
7481,8,Ifit3-high B cells
7482,23,T doublets
7483,2,CD8 T cells
7484,8,Ifit3-high B cells
7485,4,Mature B cells
7486,8,Ifit3-high B cells
7487,4,Mature B cells
7488,30,Neutrophils
7489,13,B1 B cells
7490,6,CD122+ CD8 T cells
7491,1,Mature B cells
7492,0,CD4 T cells
7493,2,CD8 T cells
7494,3,Transitional B cells
7495,9,Mature B cells
7496,0,CD4 T cells
7497,3,Transitional B cells
7498,1,Mature B cells
7499,3,Transitional B cells
7500,"16,0",B-macrophage doublets
7501,8,Ifit3-high B cells
7502,11,MZ B cells
7503,6,CD122+ CD8 T cells
7504,9,Mature B cells
7505,2,CD8 T cells
7506,13,B1 B cells
7507,1,Mature B cells
7508,0,CD4 T cells
7509,"24,1",Erythrocytes
7510,4,Mature B cells
7511,2,CD8 T cells
7512,8,Ifit3-high B cells
7513,4,Mature B cells
7514,0,CD4 T cells
7515,2,CD8 T cells
7516,11,MZ B cells
7517,6,CD122+ CD8 T cells
7518,"12,0",NKT cells
7519,"15,1",cDC1s
7520,3,Transitional B cells
7521,30,Neutrophils
7522,3,Transitional B cells
7523,"12,0",NKT cells
7524,7,Mature B cells
7525,0,CD4 T cells
7526,3,Transitional B cells
7527,7,Mature B cells
7528,1,Mature B cells
7529,7,Mature B cells
7530,4,Mature B cells
7531,0,CD4 T cells
7532,0,CD4 T cells
7533,8,Ifit3-high B cells
7534,1,Mature B cells
7535,"16,0",B-macrophage doublets
7536,5,Mature B cells
7537,13,B1 B cells
7538,"12,1",NK cells
7539,4,Mature B cells
7540,1,Mature B cells
7541,0,CD4 T cells
7542,2,CD8 T cells
7543,"16,1",MZ/Marco-high macrophages
7544,1,Mature B cells
7545,0,CD4 T cells
7546,"12,1",NK cells
7547,11,MZ B cells
7548,21,B doublets
7549,2,CD8 T cells
7550,5,Mature B cells
7551,4,Mature B cells
7552,3,Transitional B cells
7553,2,CD8 T cells
7554,"10,0",Tregs
7555,0,CD4 T cells
7556,"20,1",Ly6-low monocytes
7557,"20,0",Ly6-high monocytes
7558,2,CD8 T cells
7559,4,Mature B cells
7560,9,Mature B cells
7561,"20,0",Ly6-high monocytes
7562,5,Mature B cells
7563,2,CD8 T cells
7564,1,Mature B cells
7565,0,CD4 T cells
7566,8,Ifit3-high B cells
7567,13,B1 B cells
7568,5,Mature B cells
7569,"20,1",Ly6-low monocytes
7570,6,CD122+ CD8 T cells
7571,"10,0",Tregs
7572,6,CD122+ CD8 T cells
7573,11,MZ B cells
7574,7,Mature B cells
7575,"15,1",cDC1s
7576,"15,1",cDC1s
7577,1,Mature B cells
7578,6,CD122+ CD8 T cells
7579,2,CD8 T cells
7580,14,Ifit3-high CD4 T cells
7581,6,CD122+ CD8 T cells
7582,0,CD4 T cells
7583,7,Mature B cells
7584,6,CD122+ CD8 T cells
7585,0,CD4 T cells
7586,4,Mature B cells
7587,3,Transitional B cells
7588,4,Mature B cells
7589,7,Mature B cells
7590,6,CD122+ CD8 T cells
7591,6,CD122+ CD8 T cells
7592,3,Transitional B cells
7593,21,B doublets
7594,7,Mature B cells
7595,0,CD4 T cells
7596,3,Transitional B cells
7597,4,Mature B cells
7598,0,CD4 T cells
7599,6,CD122+ CD8 T cells
7600,3,Transitional B cells
7601,3,Transitional B cells
7602,3,Transitional B cells
7603,4,Mature B cells
7604,3,Transitional B cells
7605,"24,0",B-CD8 T cell doublets
7606,7,Mature B cells
7607,9,Mature B cells
7608,6,CD122+ CD8 T cells
7609,0,CD4 T cells
7610,18,Ifit3-high CD8 T cells
7611,13,B1 B cells
7612,1,Mature B cells
7613,1,Mature B cells
7614,6,CD122+ CD8 T cells
7615,25,B-CD4 T cell doublets
7616,"20,0",Ly6-high monocytes
7617,"15,0",cDC2s
7618,3,Transitional B cells
7619,6,CD122+ CD8 T cells
7620,14,Ifit3-high CD4 T cells
7621,1,Mature B cells
7622,6,CD122+ CD8 T cells
7623,4,Mature B cells
7624,3,Transitional B cells
7625,13,B1 B cells
7626,18,Ifit3-high CD8 T cells
7627,18,Ifit3-high CD8 T cells
7628,8,Ifit3-high B cells
7629,5,Mature B cells
7630,0,CD4 T cells
7631,"10,0",Tregs
7632,5,Mature B cells
7633,6,CD122+ CD8 T cells
7634,8,Ifit3-high B cells
7635,3,Transitional B cells
7636,2,CD8 T cells
7637,5,Mature B cells
7638,0,CD4 T cells
7639,8,Ifit3-high B cells
7640,0,CD4 T cells
7641,1,Mature B cells
7642,3,Transitional B cells
7643,3,Transitional B cells
7644,22,GD T cells
7645,5,Mature B cells
7646,4,Mature B cells
7647,7,Mature B cells
7648,0,CD4 T cells
7649,6,CD122+ CD8 T cells
7650,"12,0",NKT cells
7651,3,Transitional B cells
7652,0,CD4 T cells
7653,8,Ifit3-high B cells
7654,14,Ifit3-high CD4 T cells
7655,2,CD8 T cells
7656,2,CD8 T cells
7657,2,CD8 T cells
7658,"15,1",cDC1s
7659,19,Cycling B/T cells
7660,6,CD122+ CD8 T cells
7661,"15,0",cDC2s
7662,2,CD8 T cells
7663,7,Mature B cells
7664,1,Mature B cells
7665,0,CD4 T cells
7666,4,Mature B cells
7667,1,Mature B cells
7668,1,Mature B cells
7669,0,CD4 T cells
7670,5,Mature B cells
7671,1,Mature B cells
7672,4,Mature B cells
7673,4,Mature B cells
7674,4,Mature B cells
7675,1,Mature B cells
7676,9,Mature B cells
7677,"12,1",NK cells
7678,"15,1",cDC1s
7679,19,Cycling B/T cells
7680,1,Mature B cells
7681,4,Mature B cells
7682,4,Mature B cells
7683,1,Mature B cells
7684,3,Transitional B cells
7685,0,CD4 T cells
7686,"12,0",NKT cells
7687,7,Mature B cells
7688,"16,1",MZ/Marco-high macrophages
7689,22,GD T cells
7690,4,Mature B cells
7691,2,CD8 T cells
7692,"15,1",cDC1s
7693,1,Mature B cells
7694,2,CD8 T cells
7695,"12,1",NK cells
7696,1,Mature B cells
7697,0,CD4 T cells
7698,13,B1 B cells
7699,6,CD122+ CD8 T cells
7700,5,Mature B cells
7701,3,Transitional B cells
7702,21,B doublets
7703,0,CD4 T cells
7704,6,CD122+ CD8 T cells
7705,25,B-CD4 T cell doublets
7706,0,CD4 T cells
7707,"15,0",cDC2s
7708,0,CD4 T cells
7709,11,MZ B cells
7710,3,Transitional B cells
7711,5,Mature B cells
7712,0,CD4 T cells
7713,0,CD4 T cells
7714,1,Mature B cells
7715,2,CD8 T cells
7716,14,Ifit3-high CD4 T cells
7717,1,Mature B cells
7718,0,CD4 T cells
7719,7,Mature B cells
7720,2,CD8 T cells
7721,1,Mature B cells
7722,0,CD4 T cells
7723,7,Mature B cells
7724,1,Mature B cells
7725,3,Transitional B cells
7726,1,Mature B cells
7727,0,CD4 T cells
7728,2,CD8 T cells
7729,3,Transitional B cells
7730,0,CD4 T cells
7731,4,Mature B cells
7732,4,Mature B cells
7733,8,Ifit3-high B cells
7734,5,Mature B cells
7735,2,CD8 T cells
7736,13,B1 B cells
7737,3,Transitional B cells
7738,3,Transitional B cells
7739,"24,0",B-CD8 T cell doublets
7740,1,Mature B cells
7741,14,Ifit3-high CD4 T cells
7742,1,Mature B cells
7743,8,Ifit3-high B cells
7744,"15,0",cDC2s
7745,4,Mature B cells
7746,4,Mature B cells
7747,1,Mature B cells
7748,0,CD4 T cells
7749,0,CD4 T cells
7750,18,Ifit3-high CD8 T cells
7751,6,CD122+ CD8 T cells
7752,"15,2",Migratory DCs
7753,8,Ifit3-high B cells
7754,2,CD8 T cells
7755,1,Mature B cells
7756,6,CD122+ CD8 T cells
7757,26,Neutrophils
7758,23,T doublets
7759,8,Ifit3-high B cells
7760,3,Transitional B cells
7761,0,CD4 T cells
7762,8,Ifit3-high B cells
7763,9,Mature B cells
7764,8,Ifit3-high B cells
7765,4,Mature B cells
7766,2,CD8 T cells
7767,"10,1",ICOS-high Tregs
7768,3,Transitional B cells
7769,1,Mature B cells
7770,5,Mature B cells
7771,2,CD8 T cells
7772,0,CD4 T cells
7773,1,Mature B cells
7774,0,CD4 T cells
7775,3,Transitional B cells
7776,2,CD8 T cells
7777,"10,0",Tregs
7778,0,CD4 T cells
7779,0,CD4 T cells
7780,3,Transitional B cells
7781,0,CD4 T cells
7782,11,MZ B cells
7783,21,B doublets
7784,0,CD4 T cells
7785,4,Mature B cells
7786,1,Mature B cells
7787,"10,0",Tregs
7788,0,CD4 T cells
7789,"16,1",MZ/Marco-high macrophages
7790,3,Transitional B cells
7791,0,CD4 T cells
7792,1,Mature B cells
7793,0,CD4 T cells
7794,7,Mature B cells
7795,0,CD4 T cells
7796,0,CD4 T cells
7797,5,Mature B cells
7798,7,Mature B cells
7799,1,Mature B cells
7800,1,Mature B cells
7801,2,CD8 T cells
7802,1,Mature B cells
7803,"16,2",Red-pulp macrophages
7804,"15,1",cDC1s
7805,2,CD8 T cells
7806,1,Mature B cells
7807,0,CD4 T cells
7808,3,Transitional B cells
7809,13,B1 B cells
7810,"15,0",cDC2s
7811,0,CD4 T cells
7812,2,CD8 T cells
7813,2,CD8 T cells
7814,"10,1",ICOS-high Tregs
7815,"10,0",Tregs
7816,6,CD122+ CD8 T cells
7817,5,Mature B cells
7818,0,CD4 T cells
7819,4,Mature B cells
7820,3,Transitional B cells
7821,7,Mature B cells
7822,2,CD8 T cells
7823,5,Mature B cells
7824,9,Mature B cells
7825,6,CD122+ CD8 T cells
7826,1,Mature B cells
7827,14,Ifit3-high CD4 T cells
7828,1,Mature B cells
7829,2,CD8 T cells
7830,9,Mature B cells
7831,4,Mature B cells
7832,1,Mature B cells
7833,23,T doublets
7834,2,CD8 T cells
7835,6,CD122+ CD8 T cells
7836,9,Mature B cells
7837,5,Mature B cells
7838,9,Mature B cells
7839,2,CD8 T cells
7840,0,CD4 T cells
7841,7,Mature B cells
7842,19,Cycling B/T cells
7843,7,Mature B cells
7844,2,CD8 T cells
7845,3,Transitional B cells
7846,3,Transitional B cells
7847,14,Ifit3-high CD4 T cells
7848,4,Mature B cells
7849,0,CD4 T cells
7850,2,CD8 T cells
7851,0,CD4 T cells
7852,0,CD4 T cells
7853,8,Ifit3-high B cells
7854,25,B-CD4 T cell doublets
7855,"24,0",B-CD8 T cell doublets
7856,6,CD122+ CD8 T cells
7857,3,Transitional B cells
7858,5,Mature B cells
7859,0,CD4 T cells
7860,0,CD4 T cells
7861,0,CD4 T cells
7862,23,T doublets
7863,6,CD122+ CD8 T cells
7864,"12,0",NKT cells
7865,6,CD122+ CD8 T cells
7866,1,Mature B cells
7867,0,CD4 T cells
7868,3,Transitional B cells
7869,7,Mature B cells
7870,0,CD4 T cells
7871,5,Mature B cells
7872,7,Mature B cells
7873,2,CD8 T cells
7874,0,CD4 T cells
7875,0,CD4 T cells
7876,"15,1",cDC1s
7877,0,CD4 T cells
7878,3,Transitional B cells
7879,5,Mature B cells
7880,14,Ifit3-high CD4 T cells
7881,9,Mature B cells
7882,8,Ifit3-high B cells
7883,14,Ifit3-high CD4 T cells
7884,4,Mature B cells
7885,0,CD4 T cells
7886,7,Mature B cells
7887,23,T doublets
7888,"20,0",Ly6-high monocytes
7889,3,Transitional B cells
7890,1,Mature B cells
7891,3,Transitional B cells
7892,0,CD4 T cells
7893,"10,1",ICOS-high Tregs
7894,2,CD8 T cells
7895,5,Mature B cells
7896,0,CD4 T cells
7897,0,CD4 T cells
7898,22,GD T cells
7899,7,Mature B cells
7900,7,Mature B cells
7901,5,Mature B cells
7902,14,Ifit3-high CD4 T cells
7903,1,Mature B cells
7904,7,Mature B cells
7905,2,CD8 T cells
7906,2,CD8 T cells
7907,0,CD4 T cells
7908,"12,1",NK cells
7909,4,Mature B cells
7910,0,CD4 T cells
7911,0,CD4 T cells
7912,3,Transitional B cells
7913,11,MZ B cells
7914,9,Mature B cells
7915,4,Mature B cells
7916,0,CD4 T cells
7917,8,Ifit3-high B cells
7918,3,Transitional B cells
7919,0,CD4 T cells
7920,0,CD4 T cells
7921,19,Cycling B/T cells
7922,11,MZ B cells
7923,5,Mature B cells
7924,0,CD4 T cells
7925,26,Neutrophils
7926,3,Transitional B cells
7927,14,Ifit3-high CD4 T cells
7928,3,Transitional B cells
7929,22,GD T cells
7930,1,Mature B cells
7931,4,Mature B cells
7932,0,CD4 T cells
7933,"10,0",Tregs
7934,22,GD T cells
7935,0,CD4 T cells
7936,0,CD4 T cells
7937,8,Ifit3-high B cells
7938,9,Mature B cells
7939,0,CD4 T cells
7940,0,CD4 T cells
7941,0,CD4 T cells
7942,"12,0",NKT cells
7943,1,Mature B cells
7944,2,CD8 T cells
7945,19,Cycling B/T cells
7946,6,CD122+ CD8 T cells
7947,31,Plasma B cells
7948,1,Mature B cells
7949,8,Ifit3-high B cells
7950,5,Mature B cells
7951,4,Mature B cells
7952,11,MZ B cells
7953,3,Transitional B cells
7954,8,Ifit3-high B cells
7955,0,CD4 T cells
7956,7,Mature B cells
7957,2,CD8 T cells
7958,1,Mature B cells
7959,19,Cycling B/T cells
7960,14,Ifit3-high CD4 T cells
7961,"10,1",ICOS-high Tregs
7962,8,Ifit3-high B cells
7963,4,Mature B cells
7964,8,Ifit3-high B cells
7965,11,MZ B cells
7966,0,CD4 T cells
7967,3,Transitional B cells
7968,3,Transitional B cells
7969,26,Neutrophils
7970,6,CD122+ CD8 T cells
7971,5,Mature B cells
7972,13,B1 B cells
7973,5,Mature B cells
7974,0,CD4 T cells
7975,"10,1",ICOS-high Tregs
7976,3,Transitional B cells
7977,8,Ifit3-high B cells
7978,0,CD4 T cells
7979,7,Mature B cells
7980,0,CD4 T cells
7981,3,Transitional B cells
7982,5,Mature B cells
7983,"16,0",B-macrophage doublets
7984,8,Ifit3-high B cells
7985,18,Ifit3-high CD8 T cells
7986,23,T doublets
7987,25,B-CD4 T cell doublets
7988,3,Transitional B cells
7989,"10,1",ICOS-high Tregs
7990,6,CD122+ CD8 T cells
7991,4,Mature B cells
7992,2,CD8 T cells
7993,1,Mature B cells
7994,1,Mature B cells
7995,3,Transitional B cells
7996,4,Mature B cells
7997,6,CD122+ CD8 T cells
7998,9,Mature B cells
7999,1,Mature B cells
8000,"12,0",NKT cells
8001,0,CD4 T cells
8002,5,Mature B cells
8003,6,CD122+ CD8 T cells
8004,0,CD4 T cells
8005,4,Mature B cells
8006,6,CD122+ CD8 T cells
8007,23,T doublets
8008,4,Mature B cells
8009,7,Mature B cells
8010,4,Mature B cells
8011,5,Mature B cells
8012,14,Ifit3-high CD4 T cells
8013,0,CD4 T cells
8014,3,Transitional B cells
8015,0,CD4 T cells
8016,7,Mature B cells
8017,13,B1 B cells
8018,0,CD4 T cells
8019,23,T doublets
8020,1,Mature B cells
8021,4,Mature B cells
8022,5,Mature B cells
8023,3,Transitional B cells
8024,6,CD122+ CD8 T cells
8025,8,Ifit3-high B cells
8026,1,Mature B cells
8027,18,Ifit3-high CD8 T cells
8028,8,Ifit3-high B cells
8029,21,B doublets
8030,2,CD8 T cells
8031,2,CD8 T cells
8032,7,Mature B cells
8033,9,Mature B cells
8034,6,CD122+ CD8 T cells
8035,5,Mature B cells
8036,0,CD4 T cells
8037,9,Mature B cells
8038,2,CD8 T cells
8039,4,Mature B cells
8040,0,CD4 T cells
8041,2,CD8 T cells
8042,0,CD4 T cells
8043,7,Mature B cells
8044,2,CD8 T cells
8045,2,CD8 T cells
8046,1,Mature B cells
8047,8,Ifit3-high B cells
8048,3,Transitional B cells
8049,5,Mature B cells
8050,0,CD4 T cells
8051,6,CD122+ CD8 T cells
8052,4,Mature B cells
8053,26,Neutrophils
8054,6,CD122+ CD8 T cells
8055,1,Mature B cells
8056,6,CD122+ CD8 T cells
8057,0,CD4 T cells
8058,1,Mature B cells
8059,7,Mature B cells
8060,4,Mature B cells
8061,4,Mature B cells
8062,3,Transitional B cells
8063,7,Mature B cells
8064,1,Mature B cells
8065,9,Mature B cells
8066,0,CD4 T cells
8067,0,CD4 T cells
8068,4,Mature B cells
8069,0,CD4 T cells
8070,17,Low quality B cells
8071,3,Transitional B cells
8072,3,Transitional B cells
8073,2,CD8 T cells
8074,27,Activated CD4 T cells
8075,"20,0",Ly6-high monocytes
8076,0,CD4 T cells
8077,2,CD8 T cells
8078,1,Mature B cells
8079,2,CD8 T cells
8080,0,CD4 T cells
8081,21,B doublets
8082,21,B doublets
8083,26,Neutrophils
8084,9,Mature B cells
8085,"15,0",cDC2s
8086,17,Low quality B cells
8087,3,Transitional B cells
8088,1,Mature B cells
8089,0,CD4 T cells
8090,0,CD4 T cells
8091,4,Mature B cells
8092,3,Transitional B cells
8093,2,CD8 T cells
8094,0,CD4 T cells
8095,18,Ifit3-high CD8 T cells
8096,8,Ifit3-high B cells
8097,28,pDCs
8098,4,Mature B cells
8099,6,CD122+ CD8 T cells
8100,29,Low quality T cells
8101,30,Neutrophils
8102,9,Mature B cells
8103,3,Transitional B cells
8104,1,Mature B cells
8105,0,CD4 T cells
8106,3,Transitional B cells
8107,5,Mature B cells
8108,1,Mature B cells
8109,2,CD8 T cells
8110,3,Transitional B cells
8111,13,B1 B cells
8112,7,Mature B cells
8113,4,Mature B cells
8114,13,B1 B cells
8115,0,CD4 T cells
8116,27,Activated CD4 T cells
8117,11,MZ B cells
8118,3,Transitional B cells
8119,2,CD8 T cells
8120,"15,1",cDC1s
8121,1,Mature B cells
8122,1,Mature B cells
8123,"12,1",NK cells
8124,"10,1",ICOS-high Tregs
8125,3,Transitional B cells
8126,3,Transitional B cells
8127,4,Mature B cells
8128,8,Ifit3-high B cells
8129,0,CD4 T cells
8130,9,Mature B cells
8131,6,CD122+ CD8 T cells
8132,3,Transitional B cells
8133,0,CD4 T cells
8134,"15,0",cDC2s
8135,11,MZ B cells
8136,"12,0",NKT cells
8137,1,Mature B cells
8138,"16,0",B-macrophage doublets
8139,11,MZ B cells
8140,5,Mature B cells
8141,4,Mature B cells
8142,11,MZ B cells
8143,2,CD8 T cells
8144,3,Transitional B cells
8145,2,CD8 T cells
8146,0,CD4 T cells
8147,8,Ifit3-high B cells
8148,5,Mature B cells
8149,6,CD122+ CD8 T cells
8150,"16,2",Red-pulp macrophages
8151,3,Transitional B cells
8152,8,Ifit3-high B cells
8153,9,Mature B cells
8154,6,CD122+ CD8 T cells
8155,0,CD4 T cells
8156,0,CD4 T cells
8157,6,CD122+ CD8 T cells
8158,6,CD122+ CD8 T cells
8159,6,CD122+ CD8 T cells
8160,"10,1",ICOS-high Tregs
8161,21,B doublets
8162,1,Mature B cells
8163,1,Mature B cells
8164,7,Mature B cells
8165,8,Ifit3-high B cells
8166,1,Mature B cells
8167,2,CD8 T cells
8168,0,CD4 T cells
8169,2,CD8 T cells
8170,0,CD4 T cells
8171,0,CD4 T cells
8172,2,CD8 T cells
8173,0,CD4 T cells
8174,0,CD4 T cells
8175,9,Mature B cells
8176,7,Mature B cells
8177,4,Mature B cells
8178,"15,2",Migratory DCs
8179,0,CD4 T cells
8180,13,B1 B cells
8181,3,Transitional B cells
8182,2,CD8 T cells
8183,27,Activated CD4 T cells
8184,7,Mature B cells
8185,0,CD4 T cells
8186,3,Transitional B cells
8187,14,Ifit3-high CD4 T cells
8188,30,Neutrophils
8189,3,Transitional B cells
8190,0,CD4 T cells
8191,3,Transitional B cells
8192,0,CD4 T cells
8193,6,CD122+ CD8 T cells
8194,14,Ifit3-high CD4 T cells
8195,4,Mature B cells
8196,9,Mature B cells
8197,4,Mature B cells
8198,3,Transitional B cells
8199,7,Mature B cells
8200,0,CD4 T cells
8201,2,CD8 T cells
8202,"10,1",ICOS-high Tregs
8203,13,B1 B cells
8204,3,Transitional B cells
8205,2,CD8 T cells
8206,3,Transitional B cells
8207,"20,1",Ly6-low monocytes
8208,4,Mature B cells
8209,5,Mature B cells
8210,8,Ifit3-high B cells
8211,0,CD4 T cells
8212,0,CD4 T cells
8213,0,CD4 T cells
8214,0,CD4 T cells
8215,"10,0",Tregs
8216,1,Mature B cells
8217,2,CD8 T cells
8218,"10,0",Tregs
8219,2,CD8 T cells
8220,2,CD8 T cells
8221,5,Mature B cells
8222,2,CD8 T cells
8223,5,Mature B cells
8224,2,CD8 T cells
8225,2,CD8 T cells
8226,0,CD4 T cells
8227,1,Mature B cells
8228,0,CD4 T cells
8229,11,MZ B cells
8230,3,Transitional B cells
8231,7,Mature B cells
8232,0,CD4 T cells
8233,14,Ifit3-high CD4 T cells
8234,11,MZ B cells
8235,0,CD4 T cells
8236,2,CD8 T cells
8237,14,Ifit3-high CD4 T cells
8238,4,Mature B cells
8239,2,CD8 T cells
8240,7,Mature B cells
8241,5,Mature B cells
8242,"20,0",Ly6-high monocytes
8243,3,Transitional B cells
8244,0,CD4 T cells
8245,19,Cycling B/T cells
8246,0,CD4 T cells
8247,1,Mature B cells
8248,7,Mature B cells
8249,0,CD4 T cells
8250,2,CD8 T cells
8251,1,Mature B cells
8252,0,CD4 T cells
8253,3,Transitional B cells
8254,"10,0",Tregs
8255,3,Transitional B cells
8256,0,CD4 T cells
8257,6,CD122+ CD8 T cells
8258,3,Transitional B cells
8259,2,CD8 T cells
8260,0,CD4 T cells
8261,1,Mature B cells
8262,"12,0",NKT cells
8263,3,Transitional B cells
8264,"12,0",NKT cells
8265,23,T doublets
8266,21,B doublets
8267,"16,1",MZ/Marco-high macrophages
8268,18,Ifit3-high CD8 T cells
8269,0,CD4 T cells
8270,3,Transitional B cells
8271,3,Transitional B cells
8272,11,MZ B cells
8273,4,Mature B cells
8274,8,Ifit3-high B cells
8275,0,CD4 T cells
8276,13,B1 B cells
8277,0,CD4 T cells
8278,0,CD4 T cells
8279,21,B doublets
8280,2,CD8 T cells
8281,3,Transitional B cells
8282,4,Mature B cells
8283,23,T doublets
8284,0,CD4 T cells
8285,4,Mature B cells
8286,3,Transitional B cells
8287,4,Mature B cells
8288,14,Ifit3-high CD4 T cells
8289,8,Ifit3-high B cells
8290,1,Mature B cells
8291,5,Mature B cells
8292,"12,1",NK cells
8293,8,Ifit3-high B cells
8294,2,CD8 T cells
8295,1,Mature B cells
8296,0,CD4 T cells
8297,5,Mature B cells
8298,7,Mature B cells
8299,4,Mature B cells
8300,3,Transitional B cells
8301,1,Mature B cells
8302,13,B1 B cells
8303,6,CD122+ CD8 T cells
8304,0,CD4 T cells
8305,6,CD122+ CD8 T cells
8306,0,CD4 T cells
8307,2,CD8 T cells
8308,3,Transitional B cells
8309,5,Mature B cells
8310,"12,1",NK cells
8311,9,Mature B cells
8312,6,CD122+ CD8 T cells
8313,0,CD4 T cells
8314,"12,1",NK cells
8315,"15,2",Migratory DCs
8316,4,Mature B cells
8317,0,CD4 T cells
8318,0,CD4 T cells
8319,6,CD122+ CD8 T cells
8320,"15,0",cDC2s
8321,4,Mature B cells
8322,2,CD8 T cells
8323,1,Mature B cells
8324,11,MZ B cells
8325,1,Mature B cells
8326,0,CD4 T cells
8327,1,Mature B cells
8328,"10,0",Tregs
8329,1,Mature B cells
8330,0,CD4 T cells
8331,2,CD8 T cells
8332,2,CD8 T cells
8333,1,Mature B cells
8334,0,CD4 T cells
8335,4,Mature B cells
8336,0,CD4 T cells
8337,0,CD4 T cells
8338,7,Mature B cells
8339,6,CD122+ CD8 T cells
8340,0,CD4 T cells
8341,1,Mature B cells
8342,21,B doublets
8343,9,Mature B cells
8344,0,CD4 T cells
8345,"10,2",Tregs
8346,0,CD4 T cells
8347,1,Mature B cells
8348,14,Ifit3-high CD4 T cells
8349,8,Ifit3-high B cells
8350,"10,0",Tregs
8351,4,Mature B cells
8352,2,CD8 T cells
8353,6,CD122+ CD8 T cells
8354,2,CD8 T cells
8355,7,Mature B cells
8356,3,Transitional B cells
8357,3,Transitional B cells
8358,1,Mature B cells
8359,2,CD8 T cells
8360,0,CD4 T cells
8361,"15,2",Migratory DCs
8362,3,Transitional B cells
8363,"10,0",Tregs
8364,4,Mature B cells
8365,0,CD4 T cells
8366,3,Transitional B cells
8367,13,B1 B cells
8368,"10,1",ICOS-high Tregs
8369,3,Transitional B cells
8370,3,Transitional B cells
8371,"10,0",Tregs
8372,4,Mature B cells
8373,0,CD4 T cells
8374,0,CD4 T cells
8375,13,B1 B cells
8376,0,CD4 T cells
8377,5,Mature B cells
8378,25,B-CD4 T cell doublets
8379,0,CD4 T cells
8380,0,CD4 T cells
8381,5,Mature B cells
8382,9,Mature B cells
8383,"12,1",NK cells
8384,11,MZ B cells
8385,0,CD4 T cells
8386,5,Mature B cells
8387,21,B doublets
8388,0,CD4 T cells
8389,0,CD4 T cells
8390,5,Mature B cells
8391,3,Transitional B cells
8392,6,CD122+ CD8 T cells
8393,7,Mature B cells
8394,2,CD8 T cells
8395,0,CD4 T cells
8396,2,CD8 T cells
8397,6,CD122+ CD8 T cells
8398,4,Mature B cells
8399,1,Mature B cells
8400,1,Mature B cells
8401,3,Transitional B cells
8402,8,Ifit3-high B cells
8403,5,Mature B cells
8404,"12,1",NK cells
8405,3,Transitional B cells
8406,3,Transitional B cells
8407,11,MZ B cells
8408,1,Mature B cells
8409,1,Mature B cells
8410,4,Mature B cells
8411,0,CD4 T cells
8412,6,CD122+ CD8 T cells
8413,14,Ifit3-high CD4 T cells
8414,5,Mature B cells
8415,"10,0",Tregs
8416,0,CD4 T cells
8417,"20,0",Ly6-high monocytes
8418,"12,0",NKT cells
8419,3,Transitional B cells
8420,5,Mature B cells
8421,8,Ifit3-high B cells
8422,1,Mature B cells
8423,25,B-CD4 T cell doublets
8424,11,MZ B cells
8425,"10,0",Tregs
8426,1,Mature B cells
8427,"12,1",NK cells
8428,0,CD4 T cells
8429,2,CD8 T cells
