"","x"
"429","ALG10B"
"430","ALG11"
"431","ALG12"
"432","ALG13"
"433","ALG14"
"434","ALG2"
"435","ALG3"
"436","ALG5"
"437","ALG6"
"438","ALG8"
"439","ALKBH1"
"440","ALKBH2"
"441","ALKBH3"
"442","ALKBH4"
"443","ALKBH5"
"444","ALKBH6"
"445","ALKBH7"
"446","ALKBH8"
"447","ALMS1"
"448","ALOX15B"
"449","ALOX5"
"450","ALOX5AP"
"451","ALPK1"
"452","ALS2"
"453","ALS2CL"
"454","ALYREF"
"455","AMBRA1"
"456","AMD1"
"457","AMDHD1"
"458","AMDHD2"
"459","AMER1"
"460","AMFR"
"461","AMIGO1"
"462","AMIGO2"
"463","AMMECR1"
"464","AMMECR1L"
"465","AMN"
"466","AMN1"
"467","AMOT"
"468","AMPD2"
"469","AMPD3"
"470","AMPH"
"471","AMT"
"472","AMY2B"
"473","AMZ2"
"474","ANAPC1"
"475","ANAPC10"
"476","ANAPC11"
"477","ANAPC13"
"478","ANAPC15"
"479","ANAPC16"
"480","ANAPC2"
"481","ANAPC4"
"482","ANAPC5"
"483","ANAPC7"
"484","ANG"
"485","ANGEL1"
"486","ANGEL2"
"487","ANGPT2"
"488","ANGPTL6"
"489","ANK1"
"490","ANK3"
"491","ANKAR"
"492","ANKDD1A"
"493","ANKDD1B"
"494","ANKEF1"
"495","ANKFY1"
"496","ANKH"
"497","ANKHD1"
"498","ANKIB1"
"499","ANKLE2"
"500","ANKMY1"
"501","ANKMY2"
"502","ANKRA2"
"503","ANKRD10"
"504","ANKRD11"
"505","ANKRD12"
"506","ANKRD13A"
"507","ANKRD13C"
"508","ANKRD13D"
"509","ANKRD16"
"510","ANKRD17"
"511","ANKRD22"
"512","ANKRD26"
"513","ANKRD27"
"514","ANKRD28"
"515","ANKRD31"
"516","ANKRD35"
"517","ANKRD36"
"518","ANKRD36C"
"519","ANKRD37"
"520","ANKRD39"
"521","ANKRD40"
"522","ANKRD42"
"523","ANKRD44"
"524","ANKRD46"
"525","ANKRD49"
"526","ANKRD50"
"527","ANKRD52"
"528","ANKRD54"
"529","ANKRD55"
"530","ANKRD6"
"531","ANKRD9"
"532","ANKS1A"
"533","ANKS1B"
"534","ANKS3"
"535","ANKS6"
"536","ANKZF1"
"537","ANO10"
"538","ANO6"
"539","ANO9"
"540","ANP32A"
"541","ANP32B"
"542","ANP32E"
"543","ANPEP"
"544","ANTXR2"
"545","ANXA1"
"546","ANXA11"
"547","ANXA2"
"548","ANXA2R"
"549","ANXA4"
"550","ANXA5"
"551","ANXA6"
"552","ANXA7"
"553","AOAH"
"554","AP000442.1"
"555","AP000476.1"
"556","AP000487.5"
"557","AP000692.10"
"558","AP000769.1"
"559","AP000769.7"
"560","AP001055.6"
"561","AP001062.7"
"562","AP001258.4"
"563","AP001372.2"
"564","AP001412.1"
"565","AP001462.6"
"566","AP001469.9"
"567","AP003068.23"
"568","AP003419.16"
"569","AP003774.1"
"570","AP003774.6"
"571","AP006621.5"
"572","AP1AR"
"573","AP1B1"
"574","AP1G1"
"575","AP1G2"
"576","AP1M1"
"577","AP1S1"
"578","AP1S2"
"579","AP1S3"
"580","AP2A1"
"581","AP2A2"
"582","AP2B1"
"583","AP2M1"
"584","AP2S1"
"585","AP3B1"
"586","AP3D1"
"587","AP3M1"
"588","AP3M2"
"589","AP3S1"
"590","AP3S2"
"591","AP4B1"
"592","AP4E1"
"593","AP4M1"
"594","AP4S1"
"595","AP5B1"
"596","AP5M1"
"597","AP5S1"
"598","AP5Z1"
"599","APAF1"
"600","APBA2"
"601","APBA3"
"602","APBB1"
"603","APBB1IP"
"604","APBB3"
"605","APC"
"606","APEH"
"607","APEX1"
"608","APEX2"
"609","APH1A"
"610","APH1B"
"611","API5"
"612","APIP"
"613","APITD1"
"614","APLF"
"615","APLP2"
"616","APMAP"
"617","APOA1"
"618","APOA1BP"
"619","APOBEC3A"
"620","APOBEC3B"
"621","APOBEC3C"
"622","APOBEC3D"
"623","APOBEC3F"
"624","APOBEC3G"
"625","APOBEC3H"
"626","APOBR"
"627","APOL1"
"628","APOL2"
"629","APOL3"
"630","APOL6"
"631","APOLD1"
"632","APOM"
"633","APOO"
"634","APOOL"
"635","APOPT1"
"636","APP"
"637","APPBP2"
"638","APPL1"
"639","APPL2"
"640","APRT"
"641","APTX"
"642","AQP3"
"643","AQP9"
"644","AQR"
"645","ARAF"
"646","ARAP1"
"647","ARAP2"
"648","ARAP3"
"649","ARCN1"
"650","AREG"
"651","AREL1"
"652","ARF1"
"653","ARF3"
"654","ARF4"
"655","ARF5"
"656","ARF6"
"657","ARFGAP1"
"658","ARFGAP2"
"659","ARFGAP3"
"660","ARFGEF1"
"661","ARFGEF2"
"662","ARFIP1"
"663","ARFIP2"
"664","ARFRP1"
"665","ARG1"
"666","ARGLU1"
"667","ARHGAP1"
"668","ARHGAP10"
"669","ARHGAP11A"
"670","ARHGAP11B"
"671","ARHGAP12"
"672","ARHGAP15"
"673","ARHGAP17"
"674","ARHGAP18"
"675","ARHGAP19"
"676","ARHGAP21"
"677","ARHGAP22"
"678","ARHGAP24"
"679","ARHGAP25"
"680","ARHGAP26"
"681","ARHGAP27"
"682","ARHGAP30"
"683","ARHGAP31"
"684","ARHGAP32"
"685","ARHGAP33"
"686","ARHGAP35"
"687","ARHGAP4"
"688","ARHGAP44"
"689","ARHGAP5"
"690","ARHGAP5-AS1"
"691","ARHGAP9"
"692","ARHGDIA"
"693","ARHGDIB"
"694","ARHGEF1"
"695","ARHGEF10"
"696","ARHGEF10L"
"697","ARHGEF11"
"698","ARHGEF12"
"699","ARHGEF19"
"700","ARHGEF2"
"701","ARHGEF26"
"702","ARHGEF3"
"703","ARHGEF37"
"704","ARHGEF39"
"705","ARHGEF4"
"706","ARHGEF40"
"707","ARHGEF5"
"708","ARHGEF6"
"709","ARHGEF7"
"710","ARHGEF9"
"711","ARID1A"
"712","ARID1B"
"713","ARID2"
"714","ARID3A"
"715","ARID3B"
"716","ARID4A"
"717","ARID4B"
"718","ARID5A"
"719","ARID5B"
"720","ARIH1"
"721","ARIH2"
"722","ARIH2OS"
"723","ARL1"
"724","ARL10"
"725","ARL11"
"726","ARL13B"
"727","ARL14EP"
"728","ARL15"
"729","ARL16"
"730","ARL2"
"731","ARL2BP"
"732","ARL3"
"733","ARL4A"
"734","ARL4C"
"735","ARL4D"
"736","ARL5A"
"737","ARL5B"
"738","ARL6"
"739","ARL6IP1"
"740","ARL6IP5"
"741","ARL6IP6"
"742","ARL8A"
"743","ARL8B"
"744","ARMC1"
"745","ARMC10"
"746","ARMC2"
"747","ARMC5"
"748","ARMC6"
"749","ARMC7"
"750","ARMC8"
"751","ARMCX1"
"752","ARMCX2"
"753","ARMCX3"
"754","ARMCX4"
"755","ARMCX5"
"756","ARMCX6"
"757","ARNT"
"758","ARNTL"
"759","ARPC1A"
"760","ARPC1B"
"761","ARPC2"
"762","ARPC3"
"763","ARPC4"
"764","ARPC5"
"765","ARPC5L"
"766","ARPP19"
"767","ARRB1"
"768","ARRB2"
"769","ARRDC1"
"770","ARRDC2"
"771","ARRDC3"
"772","ARRDC4"
"773","ARRDC5"
"774","ARSA"
"775","ARSB"
"776","ARSD"
"777","ARSG"
"778","ARSK"
"779","ARV1"
"780","ARVCF"
"781","ASAH1"
"782","ASAH2B"
"783","ASAP1"
"784","ASAP2"
"785","ASB1"
"786","ASB13"
"787","ASB16-AS1"
"788","ASB2"
"789","ASB6"
"790","ASB7"
"791","ASB8"
"792","ASB9"
"793","ASCC1"
"794","ASCC2"
"795","ASCC3"
"796","ASCL2"
"797","ASF1A"
"798","ASF1B"
"799","ASGR1"
"800","ASGR2"
"801","ASH1L"
"802","ASH1L-AS1"
"803","ASH2L"
"804","ASL"
"805","ASMTL"
"806","ASMTL-AS1"
"807","ASNA1"
"808","ASNS"
"809","ASNSD1"
"810","ASPH"
"811","ASPHD2"
"812","ASPM"
"813","ASPSCR1"
"814","ASRGL1"
"815","ASTE1"
"816","ASTN2"
"817","ASUN"
"818","ASXL1"
"819","ASXL2"
"820","ATAD1"
"821","ATAD2"
"822","ATAD2B"
"823","ATAD3A"
"824","ATAD3B"
"825","ATAD3C"
"826","ATAD5"
"827","ATAT1"
"828","ATE1"
"829","ATF1"
"830","ATF2"
"831","ATF3"
"832","ATF4"
"833","ATF5"
"834","ATF6"
"835","ATF6B"
"836","ATF7IP"
"837","ATF7IP2"
"838","ATG10"
"839","ATG12"
"840","ATG13"
"841","ATG14"
"842","ATG16L1"
"843","ATG16L2"
"844","ATG2A"
"845","ATG2B"
"846","ATG3"
"847","ATG4A"
"848","ATG4B"
"849","ATG4C"
"850","ATG4D"
"851","ATG5"
"852","ATG7"
"853","ATG9A"
"854","ATG9B"
"855","ATHL1"
"856","ATIC"
"857","ATL1"
"858","ATL2"
"859","ATL3"
"860","ATM"
"861","ATMIN"
"862","ATN1"
"863","ATOX1"
"864","ATP10A"
"865","ATP10D"
"866","ATP11A"
"867","ATP11B"
"868","ATP11C"
"869","ATP13A1"
"870","ATP13A2"
"871","ATP13A3"
"872","ATP1A1"
"873","ATP1A3"
"874","ATP1B1"
"875","ATP1B3"
"876","ATP2A2"
"877","ATP2A3"
"878","ATP2B1"
"879","ATP2B4"
"880","ATP2C1"
"881","ATP5A1"
"882","ATP5B"
"883","ATP5C1"
"884","ATP5D"
"885","ATP5E"
"886","ATP5EP2"
"887","ATP5F1"
"888","ATP5G1"
"889","ATP5G2"
"890","ATP5G3"
"891","ATP5H"
"892","ATP5I"
"893","ATP5J"
"894","ATP5J2"
"895","ATP5L"
